Jake Heun	L
Denis Goltsov	L
Jared Rosholt	L
Zeke Tuinei-Wily	W
Fernando Rodrigues Jr.	W
Rodrigo Carlos	W
Tony Lopez	W
Rokas Stambrauskas	W
Bjoern Schmiedeberg	W
Ivan Shtyrkov	L
Heath Herring	W
Muhammed Lawal	L
Quinton Jackson	L
Jiri Prochazka	L
William Penn	W
Nick Rossborough	W
Mirko Filipovic	L
Mirko Filipovic	L
Phil de Fries	W
Kazuyuki Fujita	W
Jeff Monson	W
Clayton Jones	W
Pedro Rizzo	W
Kerry Schall	W
Sean McCorkle	W
Tim Sylvia	W
Fedor Emelianenko	L
Paulo Filho	D
Jerome LeBanner	W
Katsuyori Shibata	W
Ikuhisa Minowa	W
Tafa Misipati	W
Hidehiko Yoshida	L
