Evan Dunham	W
Frankie Edgar	L
Tyson Griffin	W
BJ Penn	L
Hermes Franca	W
Kenny Florian	W
Nick Diaz	W
Georges St-Pierre	L
Joel Blanton	W
Lee King	W
Brodie Farber	W
Darin Brudigan	W
Gerald Strebendt	W
Eric Heinz	W
Jake Short	W
Kaleo Padilla	W
Ryuki Ueyama	W
Charles Diaz	W
Mark Long	W
John Alexander	W
Matt Hughes	L
John Alexander	W
Benji Radach	W
Jutaro Nakao	W
Claudionor Fontinelle	W
Kiuma Kunioku	D
Curtis Brigham	W
Jason Purcell	W
Marty Armendarez	W
Manvel Gamburyan	W
Tiki Ghosn	W
Karo Parisyan	W
Ken Parham	W
Karo Parisyan	W
Steve Gomm	W
Scott Bills	W
Kurtis Jensen	W
Johnnie Holland	W
Dean Kugler	W
Joe Paun	W
Roscoe Ostyn	W
