Ronys Torres	W
Khuukhenkhuu Amartuvshin	W
Leo Kuntz	W
Jorge Rodrigues Silva	W
Won Gi Kim	W
Bagautdin Abasov	W
Khusein Khaliev	L
Luciano Palhano	W
Rodrigo Caporal	W
Yasubey Enomoto	L
Hermes Franca	W
Sergey Faley	W
Luiz Cado Simon	W
Davlat Olimov	W
Renat Lyatifov	W
Harun Kina	W
Yasubey Enomoto	L
Eduardo Pachu	W
Juha-Pekka Vainikainen	W
Anatoly Safronov	W
Alexander Yakovlev	D
Yasubey Enomoto	L
Zhanybek Amatov	W
Yasubey Enomoto	W
Yuri Izotov	W
Tom Gallicchio	W
Abner Lloveras	W
Jaroslav Poborsky	W
Vener Galiev	W
Vasily Novikov	W
Vladimir Katyhin	W
Frodo Khasbulaev	W
Ramazan Abdulzhalilov	W
Radik Iboyan	W
Seydina Seck	W
Rashid Magomedov	L
Aleksey Gonchar	W
Hamiz Mamedov	W
Mukhamed Aushev	W
Vitaly Gogishvilli	W
Magomed Kurmagomedov	W
