Honorio Banario	W
Christian Lee	L
Eduard Folayang	W
Ev Ting	W
Shannon Wiratchai	W
Rasul Yakhyaev	W
Ben Askren	L
Eduard Folayang	L
Kazushi Sakuraba	W
Koji Ando	W
Yuki Yamamoto	W
Kamal Shalorus	W
Toshikatsu Harada	W
Cody Stevens	W
Kotetsu Boku	W
Antonio McKee	W
Arnaud Lepont	W
Eddie Alvarez	L
Satoru Kitaoka	W
Rob McCullough	W
Rich Clementi	W
Lyle Beerbohm	W
Yokthai Sithoar	W
Yokthai Sithoar	W
Marcus Aurelio	W
Tatsuya Kawajiri	W
Gilbert Melendez	L
Mizuto Hirota	W
Joachim Hansen	W
Vitor Ribeiro	W
Hayato Sakurai	L
David Gardner	W
Eddie Alvarez	W
Todd Moore	W
Joachim Hansen	L
Caol Uno	W
Katsuhiko Nagata	W
Gesias Cavalcante	W
Gesias Cavalcante	D
Bu-Kyung Jung	W
Brian Lo-A-Njoe	W
Akira Kikuchi	W
Joachim Hansen	W
Clay French	W
George Sotiropoulos	W
Jason Black	W
Jason Black	W
Akira Kikuchi	W
Kuniyoshi Hironaka	W
Hayato Sakurai	L
Shigetoshi Iwase	W
Keith Wisniewski	W
Jutaro Nakao	L
Seichi Ikemoto	W
Yasutoshi Ryu	W
Dai Okimura	W
