Ben Rothwell	L
Marcos Rogerio de Lima	W
Marcin Tybura	L
Andrei Arlovski	L
Alexander Volkov	L
Daniel Omielanczuk	W
Antonio Silva	W
Jared Rosholt	L
Antonio Rodrigo Nogueira	W
Alistair Overeem	L
Mark Hunt	L
Stipe Miocic	W
Lavar Johnson	W
Dave Herman	W
Pat Barry	W
Travis Browne	L
Sean McCorkle	W
Christian Morecraft	W
Roy Nelson	L
Paul Buentello	W
Chase Gormley	W
Denis Stojnic	W
Junior Dos Santos	L
Mario Neto	W
Ralf Wonnink	W
Yuji Sakuragi	W
Colin Robinson	W
Ralf Wonnink	W
Sergey Danish	W
Christian M'Pumbu	L
Tomek Smykowski	W
Tom Blackledge	W
Denis Komkin	W
Marko Sintic	W
Atte Backman	W
Florian Muller	W
Marcus Sursa	W
Murat Bourekba	W
Emir Smajlovic	W
Romualds Garkulis	L
John de Wilde	W
