Jeremy Kennedy	L
Gadzhi Rabadanov	L
Lance Palmer	L
Nazareno Malegarie	D
Alexandre Almeida	W
Alexandre Almeida	W
Magomed Idrisov	W
Lance Palmer	L
Hakeem Dawodu	L
Patrick Reeves	W
Andre Harrison	L
Scott Thometz	W
Austin Springer	W
Joshua Tyler	W
Jack Montgomery	W
Brandon Hempleman	W
Desmond Green	L
Noad Lahat	L
Rony Jason	L
Dennis Bermudez	L
Mike Brown	W
Kurt Holobaugh	W
Darren Elkins	L
Joey Gambino	W
Cole Miller	W
Josh Clopton	W
Cole Escovedo	L
Steve Sharp	W
Dennis Davis	W
James Francis	W
Enoch Wilson	W
Chad Mendes	L
Shawn Bias	W
Nick Mamalis	W
Camrann Pacheco	W
Olly Bradstreet	W
Travis Marx	W
Dan Berry	W
Mikael Smith	W
John Sharp	W
Lance Gorman	W
Olly Bradstreet	L
Travis Worenscroft	W
Matt May	L
Dwayne Shelton	L
Matthew Rider	W
Olly Bradstreet	L
Kawaika Kauwe	W
Kawaika Kauwe	L
Kawaika Kauwe	L
Jared Garn	W
Olly Bradstreet	L
Samuel Hewitt	W
