Frankie Perez	L
Ross Pearson	L
KJ Noons	L
Cody McKenzie	W
James Krause	L
Caros Fodor	W
John Makdessi	L
Spencer Fisher	W
Thiago Tavares	L
Yves Edwards	W
Paul Taylor	W
Jeremy Stephens	L
Joe Lauzon	W
Matt Wiman	W
Terry Etim	L
Rich Clementi	L
Per Eklund	W
Martin Grandmont	W
Spencer Fisher	L
Fabio Holanda	W
Jay Estrada	W
Kenny Florian	L
Spencer Fisher	W
Donald Ouimet	W
Donald Ouimet	W
Tyler Jackson	W
Joey Brown	W
Dave Goulet	W
Steve Claveau	W
Yves Jabouin	W
Stephane Laliberte	W
Joey Clark	D
Jay Estrada	L
