Daniel Madrid	L
Teddy Ash	L
Jonathan Casimiro	W
Jesse Taylor	L
Leon Edwards	L
Alan Jouban	L
Thiago Alves	L
Neil Magny	W
Brian Melancon	L
Mike Pierce	L
Simeon Thoresen	W
Lance Benoist	W
Matt Brown	W
Clay Harvison	W
Alex Garcia	W
Tim McKenzie	W
Brad Tavares	L
Tom Nguyen	W
Roger Bowling	L
James Warfield	W
Oscar Montano	W
Antonio Grant	W
Donnie Liles	L
Eddie Arizmendi	W
Jordan Pergola	W
Kito Andrews	W
Chris Kennedy	W
Dan Molina	L
Brent Beauparlant	L
Seth Ballantine	W
Travous DeGroat	W
Johnathan Tsosie	W
Shane Johnson	L
Gabriel Flores	L
Robert King	W
Ryan Potter	L
