Hiromasa Ogikubo	L
Ulka Sasaki	W
Takafumi Otsuka	W
Kyoji Horiguchi	L
Kevin Petshi	W
Akhmed Musakaev	W
Rafael Silva	W
Jonathan Brookins	W
Victor Henry	W
Takafumi Otsuka	W
Jonathan Brookins	L
Trevor Ward	W
Yo Saito	W
Alan Yoshihiro Yamaniha	W
Kyoji Horiguchi	L
Nobuhiro Yoshitake	W
Caol Uno	W
Nobutaka Hiyoshi	W
Tashiro Nishiuchi	W
Manabu Inoue	W
Motonobu Tezuka	W
Tashiro Nishiuchi	D
Taiyo Nakahara	L
Kil Woo Lee	W
Nobuhiro Yamauchi	W
Wataru Miki	W
Taiki Tsuchiya	L
Chan Sung Jung	L
Michihiro Omigawa	D
Tenkei Oda	W
Kazuhiro Ito	W
Hayate Usui	W
Hiroshi Nakamura	D
Toshihiko Yokoyama	W
Tomonori Taniguchi	W
Masatoshi Kobayashi	W
Keisuke Yamada	D
Daisuke Ishizawa	L
