Trevin Jones	L
Victor Henry	L
Shintaro Ishiwatari	L
Khalid Taha	W
Anthony Birchak	W
Koichi Ishizuka	W
Baataryn Azjavkhlan	W
Daisuke Endo	W
Ken Saotome	D
Toshiaki Kitada	W
Shintaro Ishiwatari	L
Toshinori Tsunemura	W
Kenji Osawa	W
Yoon Jun Lee	L
Toshiaki Kitada	W
Makoto Kamaya	W
Seiji Akao	W
Naohiro Mizuno	W
Tatsumitsu Wada	L
Yoshiro Maeda	L
Bibiano Fernandes	L
Hiroshi Nakamura	W
Kenji Osawa	L
Tomohiko Hori	W
Yoshiro Maeda	L
Koichiro Matsumoto	L
Kazuyuki Miyata	L
Takeshi Yamazaki	W
Dokonjonosuke Mishima	W
Bibiano Fernandes	L
Shoji Maruyama	W
Masanori Kanehara	W
Rafael Dos Anjos	L
Isamu Sugiuchi	W
Shun Takahashi	W
Rodrigo Ruiz	W
Seiji Ozuka	D
Motomare Takahashi	W
Leandro Issa	W
Luiz Andrade I	W
Toshiaki Kitada	L
Tashiro Nishiuchi	L
