Arman Tsarukyan	L
Hyun Gyu Lim	L
Erick Silva	L
Islam Galayev	D
Shingo Suzuki	W
Akihiro Murayama	D
Keiichiro Yamamiya	W
Kiichi Kunimoto	W
Eiji Ishikawa	D
Sojiro Orui	W
Kengo Ura	W
Shingo Suzuki	W
Yuta Nakamura	W
Keiichiro Yamamiya	L
Yuki Kondo	L
Joe Doerksen	L
Izuru Takeuchi	D
Hoon Kim	W
Ichiro Kanai	W
Rikuhei Fujii	W
Yuji Hisamatsu	W
Young Choi	L
Masahiro Toryu	D
Yukiya Naito	L
Kenji Nagai	W
Yuji Hisamatsu	D
Yusaku Tsukumo	L
Tetsuo Seto	D
Ken Hamamura	D
Ken Hamamura	L
Marlon Medeiros	W
Kosuke Umeda	L
Moriyuki Yamada	W
Ryo Nakajima	W
Shichi Maru	W
