Manel Kape	L
Shoji Maruyama	W
Pietro Menga	W
Murad Kalamov	L
Rustam Kerimov	L
Eddie Wineland	L
Cody Garbrandt	L
George Roop	W
Aljamain Sterling	L
Dominick Cruz	L
Francisco Rivera	W
Nam Phan	W
Erik Perez	W
Bryan Caraway	W
Jeff Hougland	W
Chris Cariaso	L
Cole Escovedo	W
Brian Bowles	L
Reuben Duran	W
Urijah Faber	L
Rani Yahya	W
Scott Jorgensen	L
Jeff Curran	W
Miguel Torres	L
Masahiro Oishi	W
Daisuke Endo	W
Daichi Fujiwara	W
Seiji Otsuka	W
Kentaro Imaizumi	W
Masakatsu Ueda	D
Atsushi Yamamoto	L
Kenji Osawa	L
Ryota Matsune	D
Takamaro Watari	W
Tetsu Suzuki	W
Teruyuki Matsumoto	W
Shin Kato	W
Naoki Yahagi	W
Satoshi Yamashita	W
