Patricky Freire	L
Ali Abdulkhalikov	W
Satoru Kitaoka	L
Gabriel Leite de Oliveira	L
Anthony Birchak	W
Kron Gracie	L
Cub Swanson	L
Dennis Bermudez	L
Jason Knight	W
Dennis Siver	W
Clay Guida	L
Sean Soriano	W
Michihiro Omigawa	W
Donald Sanchez	W
Kazuyuki Miyata	W
Joachim Hansen	W
Drew Fickett	W
Gilbert Melendez	L
Josh Thomson	W
Shinya Aoki	L
Kazunori Yokota	W
Melchor Manibusan	W
Gesias Cavalcante	W
Ross Ebanez	W
Eddie Alvarez	L
Luiz Firmino	W
Kultar Gill	W
Luiz Azeredo	W
Gilbert Melendez	L
Per Eklund	W
Chris Brennan	W
Chris Brennan	W
Charles Bennett	W
Joachim Hansen	W
Takanori Gomi	L
Luiz Firmino	W
Kim In Seok	W
Jani Lax	W
Vitor Ribeiro	W
Mindaugas Laurinaitis	W
Caol Uno	D
Ryan Bow	W
Yves Edwards	W
Takumi Nakayama	W
Vitor Ribeiro	L
Ken Omatsu	W
Tsutomu Shiiki	W
Daisuke Sugie	W
Takeshi Yamazaki	W
Masaya Takita	W
Kazumichi Takada	W
Yohei Suzuki	W
Yohei Suzuki	D
Takumi Nakayama	L
