Hector Lombard	W
Jack Hermansson	L
Brad Tavares	L
Sam Alvey	W
Krzysztof Jotko	L
Chris Camozzi	W
Gegard Mousasi	L
Michael Bisping	L
Tim Boetsch	W
Francis Carmont	W
Trevor Smith	W
Ed Herman	W
Tom Watson	W
Matt Horwich	W
Jeremy Horn	W
Tor Troeng	W
Matt Horwich	L
Jesse Taylor	W
Rico Washington Sr.	W
Dean Lister	W
Alessio Sakara	L
Anderson Silva	L
Drew McFedries	W
Nate Marquardt	W
Ryan Jensen	W
Floyd Sword	W
Pete Sell	W
Martin Kampmann	L
Jose Landi-Jons	W
Osami Shibuya	W
Jason Guida	W
Ronald Jhun	W
Gustavo Machado	W
Adam Roland	W
Lucio Linhares	W
Flavio Luiz Moura	W
Felipe Arinelli	W
