Tim Means	L
Laureano Staropoli	L
Max Griffin	W
Aleksei Kunchenko	L
Curtis Millender	L
Patrick Cote	W
Jim Miller	L
Carlos Condit	L
Jordan Mein	W
Seth Baczynski	W
Martin Kampmann	L
Papy Abedi	W
Rick Story	L
John Howard	W
Jon Fitch	L
Georges St-Pierre	L
Josh Koscheck	W
Matt Hughes	W
Karo Parisyan	W
Chris Lytle	W
Kuniyoshi Hironaka	W
Tony DeSouza	W
John Alessio	W
Jon Fitch	L
Derrick Noble	W
Ansar Chalangov	W
Spencer Fisher	L
Jeff Cox	W
Jason Chambers	W
Nuri Shakir	W
Derrick Noble	L
Marcus Davis	W
Mike Littlefield	W
Carlos Alexandre Pereira	W
Fabio Holanda	W
Wilson Belchoir	W
Lucas Lopes	L
Gleison Tibau	L
Unknown Fighter	W
Unknown Fighter	W
Unknown Fighter	W
Unknown Fighter	W
Unknown Fighter	W
