Ruslan Magomedov	L
Tony Johnson Jr.	L
Satoshi Ishii	L
Andrei Arlovski	D
Randy Smith	W
Andreas Kraniotakes	W
Patrick Barrentine	W
Abe Wagner	L
Vince Lucero	W
Paul Buentello	W
Mariusz Pudzianowski	W
Jason Riley	W
Ray Mercer	L
Fedor Emelianenko	L
Antonio Rodrigo Nogueira	L
Brandon Vera	W
Randy Couture	L
Jeff Monson	W
Andrei Arlovski	W
Andrei Arlovski	W
Assuerio Silva	W
Tra Telligman	W
Mike Block	W
Andrei Arlovski	L
Wes Sims	W
Frank Mir	L
Gan McGee	W
Ricco Rodriguez	W
Wesley Correira	W
Jeff Gerlick	W
Mike Whitehead	W
Jason Lambert	W
Boyd Ballard	W
Mike Whitehead	W
Matt Fremmbling	W
Gino De La Cruz	W
Ernest Henderson	W
Greg Wikan	W
Ben Rothwell	W
Greg Wikan	W
Gabe Beauperthy	W
Randy Durant	W
