Sharamazan Shupanov	W
Nikita Chistyakov	W
Alexander Yanishev	W
Vadim Buseev	W
Yusup Saadulaev	L
Sharamazan Shupanov	W
Oleg Borisov	D
Grachik Engibaryan	W
Laszlo Furko	W
Marian Jakubik	D
Vojto Barborik	W
Dominik Engel	W
Francesco Sarullo	W
Jaroslav Pokorny	W
Robert Delic	W
Miroslav Strbak	L
Mateusz Gamrot	L
Witold Fedyna	W
Alexander Sarnavskiy	L
Jan Marsalek	W
Solon Krstinn Arnason	W
Ulas Aslan	L
Alexander Butenko	L
Antun Racic	L
Vaclav Samsa	L
Eduard Krajcirovic	W
Valid Abdurachmanov	L
Andreas Gozutok	W
Michal Scibran	W
