Colin Fletcher	L
Curtis Demarce	W
Jake Murphy	L
Frank Caraballo	L
Alexander Sarnavskiy	L
Jorge Britto	W
Buddy Clinton	W
Mike Ricci	L
Jesse Ronson	L
Brad Cardinal	W
Mike Campbell	W
Taiki Tsuchiya	L
Shane Campbell	L
Yukinari Tamura	L
Scott Bickerstaff	W
Kotetsu Boku	L
David Shepherd	L
Takanori Gomi	L
Victor Valenzuela	W
Alberto Crane	W
Mike Roberts	W
Angelo Sanchez	L
Gabe Rivas	W
Josh Cate	W
Frank Santore	L
Pat Curran	L
Derek Griffin	W
Ryan Stock	W
Nick Pugh	W
Bryan Goldsby	W
Billy Vaughan	L
Diego Paisedes	W
