Melvin Guillard	W
Yusuke Yachi	L
Dong Hyun Ma	L
Jon Tuck	L
Jim Miller	L
Joe Lauzon	L
Myles Jury	L
Isaac Vallie-Flagg	W
Diego Sanchez	L
Mac Danzig	W
Eiji Mitsuoka	W
Nate Diaz	L
Clay Guida	L
Tyson Griffin	W
Kenny Florian	L
Tony Hervey	W
Takashi Nakakura	W
Satoru Kitaoka	L
Sergey Golyaev	L
Tae Hyun Bang	W
Duane Ludwig	W
Nick Diaz	D
Mitsuhiro Ishida	W
Marcus Aurelio	W
David Baron	W
David Baron	W
Marcus Aurelio	L
Hayato Sakurai	W
Tatsuya Kawajiri	W
Luiz Azeredo	W
Jean Silva	W
Luiz Azeredo	W
Jens Pulver	W
Charles Bennett	W
Fabio Mello	W
Ralph Gracie	W
Jadson Costa	W
BJ Penn	L
Joachim Hansen	L
Nick Ertl	W
Dokonjonosuke Mishima	W
Chris Brennan	W
Leonardo Santos	W
Rumina Sato	W
Ryan Bow	W
Paul Rodriguez	W
Anderson Pavao	W
Johnny Eduardo	W
Takuya Kuwabara	W
Stephen Palling	W
Takuya Kuwabara	W
Kazumichi Takada	W
Hiroshi Tsuruya	W
