Issei Tamura	L
Nam Phan	L
Wataru Miki	W
Will Chope	L
Johnny Pecyna	W
Koji Oishi	D
Jon Shores	W
Tomonari Kanomata	W
Kenichi Ito	D
Yusuke Kawanago	W
Tsuneo Kimura	W
Shinji Sasaki	L
Dominique Robinson	L
Eiji Mitsuoka	L
Anthony McDavitt	D
Yoichi Fukumoto	W
Wataru Takahashi	D
Kenji Arai	L
Mac Danzig	L
Hiroki Nagaoka	L
Ganjo Tentsuku	L
Charlie Kohler	W
Charles Bennett	W
Ryan Bow	L
Takashi Nakakura	W
Marcus Aurelio	L
Tatsuya Kawajiri	L
Joachim Hansen	L
Rumina Sato	D
Takeshi Yamazaki	W
Vitor Ribeiro	L
Marcio Barbosa	L
Henry Matamoros	W
Bruno Queroy	W
Takaharu Murahama	W
Charlie Pearson	W
Ian James Schaffa	W
Chikara Miyake	W
Yohei Nanbu	D
Takuhito Hida	W
Koji Takeuchi	D
Tatsuya Kawajiri	W
