Michal Andryszak	L
Kalib Starnes	W
Tanner Boser	L
Tony Lopez	L
Evgeny Erokhin	L
Tanner Boser	W
Craig Hudson	W
Dwayne Lewis	W
Matt Baker	W
Smealinho Rama	L
Lee Mein	W
Kalib Starnes	L
Jordan Tracey	W
Mike Hackert	L
Mike Hackert	L
Craig Hudson	W
Vince Lucero	W
Matt Mitrione	L
Travis Wiuff	W
Zak Jensen	W
Joey Beltran	L
Chris Tuchscherer	L
Todd Duffee	L
Pat Barry	W
Miodrag Petkovic	W
Sherman Pendergarst	W
Jeff Lundberg	W
Jared Kilkenny	W
Miodrag Petkovic	L
Adriano Bernardo	W
Ruben Villareal	W
Jared Kilkenny	W
Jessie Jones	W
Eric Macdonald	W
