Petr Yan	L
Ricky Simon	W
Brad Pickett	W
Jimmie Rivera	L
Dominick Cruz	L
Frankie Saenz	W
Frankie Edgar	L
Francisco Rivera	W
Alex Caceres	W
Renan Barao	L
Michael McDonald	W
Iuri Alcantara	W
Scott Jorgensen	W
Ivan Menjivar	W
Renan Barao	L
Brian Bowles	W
Dominick Cruz	L
Eddie Wineland	W
Takeya Mizugaki	W
Jose Aldo	L
Raphael Assuncao	W
Mike Brown	L
Jens Pulver	W
Mike Brown	L
Jens Pulver	W
Jeff Curran	W
Chance Farrar	W
Dominick Cruz	W
Joe Pearson	W
Bibiano Fernandes	W
Enoch Wilson	W
Naoya Uematsu	W
Charlie Valencia	W
Cole Escovedo	W
Ivan Menjivar	W
Charles Bennett	W
Shawn Bias	W
Tyson Griffin	L
Hiroyuki Abe	W
David Granados	W
Eben Kaneshiro	W
Rami Boukai	W
Del Hawkins	W
David Velasquez	W
George Adkins	W
Jay Valencia	W
