Magomed Ismailov	L
Albert Duraev	L
Luis Melo Jr.	W
Will Noland	W
Ibragim Chuzhigaev	W
Matt Horwich	W
Alexander Shlemenko	L
Alexander Shlemenko	L
Kristijan Perak	W
Ramazan Emeev	L
German Yakubov	W
Ramazan Emeev	W
Maiquel Falcao	W
Vitor Nobrega	W
Trevor Prangley	W
Charles Andrade	W
Yury Kalmynin	W
Jorge Luis Bezerra	W
Svetlozar Savov	W
Maiquel Falcao	L
Victor O'Donnell	W
Andrey Kalashnikov	W
Robert Jocz	W
Tomas Kuzela	W
Enoc Solves Torres	W
Andy Sidaminou	W
Tomasz Narkun	W
Shamil Tinagadjiev	W
Xavier Foupa-Pokam	W
Alikhan Magomedov	W
Sebastian Libebe	W
Sergey Guzev	W
Artur Korchemny	W
Pavel Nohynek	W
Abdula Mutalimov	W
Akhmed Guseinov	W
Daniel Tabera	L
Ladislav Zak	W
