Yuri Villefort	L
Tyler Vogel	W
Jeff Carstens	W
Jason Jackson	L
Valdir Araujo	L
Mark Stoddard	W
Brian Houston	W
Scott Futrell	W
Marcos Marquez	W
Jason Louck	W
Anthony Smith	L
Benjamin Smith	L
Ryan Jensen	L
Dan McGlasson	W
Brian Green	W
Brian Green	L
Andy Stock	W
Bristol Marunde	L
Calley Kruger	W
Dennis Reed	W
Josh Rosaaen	L
Jeremy Horn	L
John Cronk	W
Steve Carl	L
Sean Westbrook	W
Chris Camozzi	L
Zak Cummings	L
Jesse Forbes	L
Dominic Brown	W
Ryan Braun	W
Kris Fleurstil	W
Dominic Brown	W
Daniel Thompson	W
Jaxson Mason	W
Shane Wessels	L
Bobby Voelker	L
Jay Hieron	L
Chad Reiner	L
Mark Bear	W
Duran Barlow	W
Norm Waters	W
Nick Sorg	W
Dustin Hazelett	L
Steve Berger	W
Bobby Voelker	W
LaVerne Clark	L
Chad Reiner	L
Glenn Mincer	W
Nick Thompson	L
Rob Marcks	W
Sean Huffman	W
Kyle Jensen	W
Miguel Cooley	W
Rory Markham	L
Deryck Ripley	W
Matt Sheppard	W
Dustin Daprizio	W
James Warfield	L
Jason Purcell	W
Eric Lambert	W
Alonzo Martinez	W
Alonzo Martinez	W
Sean Wilson	W
