Alexandre Pantoja	L
Ben Nguyen	W
John Moraga	L
Henry Cejudo	L
Demetrious Johnson	L
Ulka Sasaki	W
Hector Sandoval	W
Dustin Ortiz	W
Jussier Formiga	L
Scott Jorgensen	W
Joby Sanchez	W
Iuri Alcantara	L
Ivan Menjivar	W
Owen Roddy	W
Billy Vaughan	W
Cody Stevens	W
Bruno Menezes	W
Eduardo Dantas	L
Patricio Freire	L
Zac George	W
Deividas Taurosevicius	W
Patricio Freire	L
Shad Lierley	W
Dwayne Shelton	W
Roberto Vargas	W
Joe Soto	L
Henry Martinez	W
Abel Cullum	W
Bryan Caraway	W
Justin Robbins	W
Zach Makovsky	W
Diego Jimenez	W
Baba Shigeyasu	W
