Quinton Jackson	L
Chael Sonnen	L
Brian Stann	W
Rich Franklin	L
Cung Le	W
Chris Leben	L
Michael Bisping	W
Rich Franklin	L
Quinton Jackson	L
Keith Jardine	W
Chuck Liddell	L
Dan Henderson	L
Mirko Filipovic	L
Kazuyuki Fujita	W
Ricardo Arona	W
Ricardo Arona	L
Kazuhiro Nakamura	W
Hidehiko Yoshida	W
Mark Hunt	L
Quinton Jackson	W
Yuki Kondo	W
Ikuhisa Minowa	W
Hidehiko Yoshida	W
Quinton Jackson	W
Kazushi Sakuraba	W
Hiromitsu Kanehara	W
Tatsuya Iwasaki	W
Mirko Filipovic	D
Kiyoshi Tamura	W
Alexander Otsuka	W
Kazushi Sakuraba	W
Shungo Oyama	W
Kazushi Sakuraba	W
Dan Henderson	W
Gilbert Yvel	D
Guy Mezger	W
Todd Medina	W
Tito Ortiz	L
Bob Schrijber	W
Daijiro Matsui	W
Carl Malenko	W
Tony Petarra	W
Eugene Jackson	W
Adrian Serrano	W
Vitor Belfort	L
Mike Van Arsdale	W
Artur Mariano	L
Egidio da Costa	W
Sean Bormet	W
Marcelo Barbosa	W
Dilson Filho	W
