Giovanni Melillo	L
Fabricio Guerreiro	L
Akop Stepanyan	L
Isao Kobayashi	L
Taivan Narantuya	W
He Nan Nan	W
Satoshi Inaba	W
Matt Pellino	W
Mauricio dos Santos Jr.	W
Ki-Bum Moon	L
Max Holloway	L
Takumi Nakayama	W
Yi Sak Kim	W
Mostafa Ashouri	W
Andrew Benibe	W
Tanaphong Khunhankaew	W
Alex Lim	W
Rex de Lara	W
Dae Myung Kim	W
Teh Kah Wei	W
Angelito Manguray	W
Saengchot Parkaiphet	W
Julius Lim	W
Mohammad Hossein Shabanpour	W
Reydon Romero	W
Ev Ting	L
Isamu Himura	W
Miguel Alo	W
Jerson Estoro	W
Jamie Mackinnon	W
Fasi Jesse	L
Rolando Cespedes	L
Sylvain Bynum	L
Daniel Gray	W
Seok Mo Kim	L
