Roman Salazar	D	No Contest	2
Vaughan Lee	L	Submission	1
Darren Uyenoyama	L	Decision - Unanimous	3
Demetrious Johnson	L	Decision - Unanimous	3
Federico Lopez	W	KO/TKO	1
Masanori Kanehara	L	Decision - Unanimous	3
Joe Warren	L	Decision - Split	2
Rani Yahya	W	TKO	2
Bibiano Fernandes	W	Unanimous Decision	3
Istvan Majoros	W	TKO	1
Kazuyuki Miyata	W	KO (Knee)	1
Genki Sudo	W	TKO	1
Caol Uno	W	TKO (Cut)	2
Royler Gracie	W	KO	2
Ian James Schaffa	W	TKO	3
Narantungalag Jadamba	W	KO (Punch)	1
Kazuya Yasuhiro	W	Submission (Armbar)	2
Tony Valente	W	Submission (Rear Naked Choke)	1
Caleb Mitchell	W	KO	1
Jeff Curran	W	Unanimous Decision	3
Tetsuo Katsuta	W	TKO	1
Stephen Palling	L	TKO (Cut)	1
Hideki Kadowaki	W	TKO	1
Masashi Kameda	W	KO	1
Masato Shiozawa	W	Unanimous Decision	2
