Adriano Moraes	L
Jae Nam Yoo	D
Rey Docyogen	W
John Lineker	L
Joseph Benavidez	L
Yuki Shojo	W
Takuya Mori	W
Ryuichi Miki	W
Ryuichi Miki	W
Kiyotaka Shimizu	W
Yuki Shojo	L
Ryuichi Miki	D
Jesse Taitano	D
Mamoru Yamaguchi	W
Shinichi Kojima	D
Junji Ikoma	W
Daiji Takahashi	W
Daniel Lima	W
Shinichi Kojima	D
Lorenzo Coca	W
John Dodson	W
Setsu Iguchi	L
Junji Ikoma	W
Mamoru Yamaguchi	L
Robson Moura	W
Masatoshi Abe	W
Tomohiro Hashi	W
Yasuhiro Akagi	W
Masaru Gokita	W
Naoki Deguchi	D
Katsuhisa Akasaki	W
Atsunori Hiruma	D
Homare Kuboyama	W
Daiji Takahashi	L
