Patchy Mix	L
Hiromasa Ogikubo	L
Victor Henry	L
Justin Scoggins	W
Makoto Kamaya	W
Kazuma Sone	W
Jae Hoon Moon	W
Jae Eun Byeon	W
Kyoji Horiguchi	L
Allan Nascimento	W
Daiki Hata	W
Dong Hyuk Koh	W
Felipe Efrain	D
Sota Kojima	W
Jong Heon Chae	W
Matt Manzanares	W
Tatsumitsu Wada	W
Yoshiro Maeda	W
Masakazu Imanari	W
Kiyotaka Shimizu	W
Tatsumitsu Wada	L
Shinobu Aoyama	W
Yuya Shibata	W
Naoyuki Kato	W
Akira Kibe	W
Akito Sakimura	W
Naoyuki Kato	L
Takeshi Kasugai	L
Kazuki Itaya	W
Katsuya Ishida	W
Yuta Horiuchi	W
Toshiki Kako	L
