Agilan Thani	W
James Nakashima	L
Kiamrian Abbasov	L
Aleksei Kunchenko	L
Dhiego Lima	W
Ovince Saint Preux	L
Andre Lobato	W
Paul Bradley	W
Shingo Suzuki	W
Ryuta Sakurai	W
Jon Fitch	L
David Branch	L
Svetlozar Savov	W
Jacare Souza	L
Hector Lombard	W
Alan Belcher	W
Buddy Roberts	W
Tim Boetsch	L
Anderson Silva	L
Nate Marquardt	W
Mark Munoz	W
Lucio Linhares	W
Chael Sonnen	L
Dean Lister	W
Evan Tanner	W
Jason MacDonald	W
Rich Franklin	L
Mike Swick	W
Rory Singer	W
Kalib Starnes	W
Alan Belcher	W
Izuru Takeuchi	W
Ji Won Bang	W
Jake Shields	L
Jake Shields	L
Anderson Silva	W
Myun Joo Lee	W
Damien Riccio	W
Nick Thompson	W
Brian Foster	W
Eiji Ishikawa	W
Falaniko Vitale	L
Ryuta Sakurai	W
Kosei Kubota	W
Amar Suloev	L
Kazuhiro Hanada	W
Hidehiko Hasegawa	W
Hikaru Sato	W
Sen Nakadai	W
Steve White	W
Kyosuke Sasaki	W
