Akbarh Arreola	L
Piotr Hallmann	L
Yancy Medeiros	D
Daron Cruickshank	L
Isaac Vallie-Flagg	L
Jeremy Stephens	W
Tony Ferguson	L
Rafaello Oliveira	W
Sam Stout	L
Cody McKenzie	W
John Gunderson	W
Luis Palomino	W
Mike Campbell	L
Derrick Noble	W
Kyle Jensen	W
James Warfield	W
Duane Ludwig	L
KJ Noons	L
Edson Berto	W
Edson Berto	W
Alonzo Martinez	W
Nick Gonzalez	W
Jorge Masvidal	L
Mike Brown	L
Joe Stevenson	L
Seichi Ikemoto	W
Mark Hominick	L
Joachim Hansen	L
Dokonjonosuke Mishima	W
Hermes Franca	W
Naoyuki Kotani	W
Josh Thomson	W
Hermes Franca	W
Deshaun Johnson	W
Nick Agallar	W
Tatsuya Kawajiri	L
Eddie Ruiz	W
Rich Clementi	W
Kohei Yasumi	W
Joao Pierini	W
Caol Uno	L
Kultar Gill	W
Matt Serra	L
Aaron Riley	W
CJ Fernandes	D
Jeff Lindsay	W
Bone Sayavonga	W
Jeremy Williams	L
David Harris	W
Scott Bills	W
Danny Bennett	W
Pete Spratt	W
Cedric Marks	W
Andy Mockler	W
Rumina Sato	L
Stacy Coughlin	W
Aaron Riley	W
Shannon Ritch	W
Nate Marquardt	L
Anthony Holiday	W
Thomas Denny	W
Louie Cercedez	W
Fabiano Iha	L
Raphael Perlungher	W
Tim Horton	W
Joe Hurley	L
Todd Justice	W
