Jason Witt	L
Chris Harris	L
Derek Anderson	L
Neiman Gracie	L
Aaron Highfill	W
Bobby Voelker	W
Adam Meredith	W
Jake Lindsey	L
Jason Novelli	L
Rasul Shovhalov	W
Jose Landi-Jons	W
Robert Washington	W
Hugh Pulley	W
Rudy Bears	L
Mauricio Alonso	W
Billy Evangelista	L
Wayne Phillips	W
Aaron Hedrick	W
Nick Christy	W
Christopher Ortega	W
Danny Davis Jr.	L
Sean Neeley	W
James Terry	L
Daniel McWilliams	W
Tramain Smith	W
James Terry	L
Adam Steele	W
Adam Steele	W
Adam Albright	W
Justin Holdaas	W
Pat Minihan	L
